ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
486602421,Photo,South Island Takahe,Porphyrio hochstetteri,,Michael Szabo,2022-09-16,2022,9,16,1115,New Zealand,NZ-WGN-047,Wellington,Wellington City,"Zealandia entrance, Karori, Wellington, NZ",-41.2910635,174.7531035,"",,Unspecified,"","",,,,,,,S119219732,"",,,,,Porphyrio hochstetteri,takahe3,Species,,,.00,0,,2771,4156
486602471,Photo,South Island Takahe,Porphyrio hochstetteri,,Michael Szabo,2022-09-16,2022,9,16,1115,New Zealand,NZ-WGN-047,Wellington,Wellington City,"Zealandia entrance, Karori, Wellington, NZ",-41.2910635,174.7531035,"",,Unspecified,"","",,,,,,,S119219732,"",,,,,Porphyrio hochstetteri,takahe3,Species,,,.00,0,,3353,5030
481358861,Photo,South Island Takahe,Porphyrio hochstetteri,,Alfie Benbow,2022-02-07,2022,2,7,0,New Zealand,NZ-WGN-047,Wellington,Wellington City,Zealandia Wildlife Sanctuary (General),-41.2954325,174.7487384,"",,Unspecified,"","",,,,,,,S113160523,"",,,,,Porphyrio hochstetteri,takahe3,Species,,,.00,0,,3024,4032
481023411,Photo,South Island Takahe,Porphyrio hochstetteri,,Saul Ward,2022-09-04,2022,9,4,1145,New Zealand,NZ-WGN-047,Wellington,Wellington City,Zealandia--Lower Dam,-41.2926083,174.7515714,"",,Unspecified,"","",,,,,,,S118056041,"",,,,"both birds banded Right leg Red silver, Left leg Grey white.",Porphyrio hochstetteri,takahe3,Species,,,3.00,1,,,
473592321,Photo,South Island Takahe,Porphyrio hochstetteri,,Cameron Blair,2013-05-10,2013,5,10,0,New Zealand,NZ-AUK-004,Auckland,Rodney District,Tiritiri Matangi--general,-36.6007143,174.8900700,"",,Unspecified,"","",,,,,,,S116552904,"",,,,,Porphyrio hochstetteri,takahe3,Species,,,.00,0,,3168,4752
473592311,Photo,South Island Takahe,Porphyrio hochstetteri,,Cameron Blair,2013-05-10,2013,5,10,0,New Zealand,NZ-AUK-004,Auckland,Rodney District,Tiritiri Matangi--general,-36.6007143,174.8900700,"",,Unspecified,"","",,,,,,,S116552904,"",,,,,Porphyrio hochstetteri,takahe3,Species,,,.00,0,,3168,4752
473592291,Photo,South Island Takahe,Porphyrio hochstetteri,,Cameron Blair,2013-05-10,2013,5,10,0,New Zealand,NZ-AUK-004,Auckland,Rodney District,Tiritiri Matangi--general,-36.6007143,174.8900700,"",,Unspecified,"","",,,,,,,S116552904,"",,,,,Porphyrio hochstetteri,takahe3,Species,,,.00,0,,3168,4752
473592281,Photo,South Island Takahe,Porphyrio hochstetteri,,Cameron Blair,2013-05-10,2013,5,10,0,New Zealand,NZ-AUK-004,Auckland,Rodney District,Tiritiri Matangi--general,-36.6007143,174.8900700,"",,Unspecified,"","",,,,,,,S116552904,"",,,,,Porphyrio hochstetteri,takahe3,Species,,,.00,0,,3168,4752
473592271,Photo,South Island Takahe,Porphyrio hochstetteri,,Cameron Blair,2013-05-10,2013,5,10,0,New Zealand,NZ-AUK-004,Auckland,Rodney District,Tiritiri Matangi--general,-36.6007143,174.8900700,"",,Unspecified,"","",,,,,,,S116552904,"",,,,,Porphyrio hochstetteri,takahe3,Species,,,.00,0,,3168,4752
473592191,Photo,South Island Takahe,Porphyrio hochstetteri,,Cameron Blair,2013-05-10,2013,5,10,0,New Zealand,NZ-AUK-004,Auckland,Rodney District,Tiritiri Matangi--general,-36.6007143,174.8900700,"",,Unspecified,"","",,,,,,,S116552904,"",,,,,Porphyrio hochstetteri,takahe3,Species,,,.00,0,,3168,4752
