ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
487147431,Photo,Tui,Prosthemadera novaeseelandiae,,Margaret Jeune,2022-09-25,2022,9,25,1134,New Zealand,NZ-WGN-047,Wellington,Wellington City,"15 Virginia Grove, Brooklyn, Wellington",-41.3115294,174.7584839,"",,Unspecified,"","",,,,,,,S119361409,"",,,,Tui sampling the blossom flowers on a tree in a courtyard garden.,Prosthemadera novaeseelandiae,tui1,Species,,,3.00,1,,3680,2749
487147301,Photo,Tui,Prosthemadera novaeseelandiae,,Margaret Jeune,2022-09-25,2022,9,25,1134,New Zealand,NZ-WGN-047,Wellington,Wellington City,"15 Virginia Grove, Brooklyn, Wellington",-41.3115294,174.7584839,"",,Unspecified,"","",,,,,,,S119361409,"",,,,Tui sampling the blossom flowers on a tree in a courtyard garden.,Prosthemadera novaeseelandiae,tui1,Species,,,.00,0,,3474,1935
486609701,Photo,Tui,Prosthemadera novaeseelandiae,,Michael Szabo,2022-09-16,2022,9,16,1215,New Zealand,NZ-WGN-047,Wellington,Wellington City,"Zealandia Ecosantuary, upper dam, Karori, Wellington City, NZ",-41.2986677,174.7447584,"",,Unspecified,"","",,,,,,,S119219981,"",,,,Feeding on flowering Tree Fuchsia.,Prosthemadera novaeseelandiae,tui1,Species,,,.00,0,,4000,6000
486364281,Photo,Tui,Prosthemadera novaeseelandiae,,Ulises Cabrera Miranda,2022-09-21,2022,9,21,1258,New Zealand,NZ-WGN-047,Wellington,Wellington City,Wellington--Botanic Gardens,-41.2829034,174.7667989,"",,Unspecified,"","",,,,,,,S119118659,"",,,,,Prosthemadera novaeseelandiae,tui1,Species,,,.00,0,,4000,6000
486361431,Photo,Tui,Prosthemadera novaeseelandiae,,Ulises Cabrera Miranda,2022-09-21,2022,9,21,1135,New Zealand,NZ-WGN-047,Wellington,Wellington City,"101 Glenmore Street, Wellington, Wellington, NZ (-41.282, 174.769)",-41.2815767,174.7694608,"",,Unspecified,"","",,,,,,,S119116475,"",,,,,Prosthemadera novaeseelandiae,tui1,Species,,,.00,0,,4000,6000
486102991,Photo,Tui,Prosthemadera novaeseelandiae,,Cree Bol,2022-09-21,2022,9,21,1256,New Zealand,NZ-OTA-070,Otago,Queenstown-Lakes District,Queenstown Gardens,-45.0370954,168.6599851,"",Foraging or Eating,Unspecified,"","",,,,,,,S119118411,"",,,,,Prosthemadera novaeseelandiae,tui1,Species,,,4.00,1,"",1439,959
486102981,Photo,Tui,Prosthemadera novaeseelandiae,,Cree Bol,2022-09-21,2022,9,21,1256,New Zealand,NZ-OTA-070,Otago,Queenstown-Lakes District,Queenstown Gardens,-45.0370954,168.6599851,"",Foraging or Eating,Unspecified,"","",,,,,,,S119118411,"",,,,,Prosthemadera novaeseelandiae,tui1,Species,,,4.00,1,"",1190,1785
485178591,Photo,Tui,Prosthemadera novaeseelandiae,,Ulises Cabrera Miranda,2022-09-17,2022,9,17,746,New Zealand,NZ-OTA-070,Otago,Queenstown-Lakes District,"Kingston Road, Kingston, Otago, NZ (-45.294, 168.761)",-45.2937384,168.7613025,"",,Unspecified,"","",,,,,,,S118854588,"",,,,,Prosthemadera novaeseelandiae,tui1,Species,,,.00,0,,4000,6000
484538811,Photo,Tui,Prosthemadera novaeseelandiae,,Janet Burton,2022-09-16,2022,9,16,1222,New Zealand,NZ-CAN-058,Canterbury,Hurunui District,"200 Jacks Pass Road, Hanmer Springs, Canterbury, NZ (-42.509, 172.814)",-42.5091708,172.8142819,"",,Unspecified,"","",,,,,,,S118815582,"",,,,"Chasing small bird. Typical rounded black wings, very vocal for his area territory. Sighted in trees at entrance to holiday park. Think locals  at camp must put out feed for Tui & Bellbirds.",Prosthemadera novaeseelandiae,tui1,Species,,,.00,0,,1532,2632
483975451,Photo,Tui,Prosthemadera novaeseelandiae,,ERIK FORSYTH,2022-09-12,2022,9,12,1450,New Zealand,NZ-BOP-025,Bay of Plenty,Whakatane District,Ohope Scenic Reserve--Maraetotara Rd,-37.9841282,177.0334388,"",,Unspecified,"","",,,,,,,S118710524,"",,,,,Prosthemadera novaeseelandiae,tui1,Species,,,.00,0,,3456,4608
481996671,Photo,Tui,Prosthemadera novaeseelandiae,,George Vaughan,2022-09-02,2022,9,2,945,New Zealand,NZ-WKO-016,Waikato,Hamilton City,Hamilton Gardens,-37.8052405,175.3029478,"",,Unspecified,"","",,,,,,,S117939645,"",,,,,Prosthemadera novaeseelandiae,tui1,Species,,,4.00,1,,3456,4608
481728801,Photo,Tui,Prosthemadera novaeseelandiae,,George Vaughan,2022-09-01,2022,9,1,940,New Zealand,NZ-WKO-017,Waikato,Waipa District,Maungatautari--Southern Enclosure & Tautari Wetland,-38.0542078,175.5618453,"",,Unspecified,"","",,,,,,,S117882450,"",,,,The Tuis were in much louder voice in the better weather than last time around...,Prosthemadera novaeseelandiae,tui1,Species,,,3.00,1,,3456,4608
478876831,Photo,Tui,Prosthemadera novaeseelandiae,,Gary & Robyn Wilson,2022-08-27,2022,8,27,820,New Zealand,NZ-NTL-002,Northland,Whangarei District,"Boswell's Track, Onerahi,",-35.7603959,174.3594674,"",,Unspecified,"","",,,,,,,S117671761,"",,,,,Prosthemadera novaeseelandiae,tui1,Species,,,.00,0,,2667,4000
478876801,Photo,Tui,Prosthemadera novaeseelandiae,,Gary & Robyn Wilson,2022-08-27,2022,8,27,820,New Zealand,NZ-NTL-002,Northland,Whangarei District,"Boswell's Track, Onerahi,",-35.7603959,174.3594674,"",,Unspecified,"","",,,,,,,S117671761,"",,,,,Prosthemadera novaeseelandiae,tui1,Species,,,.00,0,,2667,4000
478876821,Photo,Tui,Prosthemadera novaeseelandiae,,Gary & Robyn Wilson,2022-08-27,2022,8,27,820,New Zealand,NZ-NTL-002,Northland,Whangarei District,"Boswell's Track, Onerahi,",-35.7603959,174.3594674,"",,Unspecified,"","",,,,,,,S117671761,"",,,,,Prosthemadera novaeseelandiae,tui1,Species,,,.00,0,,2667,4000
